Symbol,Trade DATE,NOCP
DOCU,3/4/19,55.56
DOCU,3/5/19,55.74
DOCU,3/6/19,55.22
DOCU,3/7/19,55.5
DOCU,3/8/19,55.99
DOCU,3/11/19,57.15
DOCU,3/12/19,57.27
DOCU,3/13/19,57.66
DOCU,3/14/19,58.85
DOCU,3/15/19,56.47
DOCU,3/18/19,57.75
DOCU,3/19/19,56.66
DOCU,3/20/19,55.38
DOCU,3/21/19,57.08
DOCU,3/22/19,53.34
DOCU,3/25/19,52.59
DOCU,3/26/19,53.74
DOCU,3/27/19,51.88
DOCU,3/28/19,51.78
DOCU,3/29/19,51.84
DOCU,4/1/19,52.14
DOCU,4/2/19,53.72
DOCU,4/3/19,54.14
DOCU,4/4/19,53.34
DOCU,4/5/19,53.84
DOCU,4/8/19,53.81
DOCU,4/9/19,53.58
DOCU,4/10/19,55.91
DOCU,4/11/19,55.35
DOCU,4/12/19,55.25
DOCU,4/15/19,55.42
DOCU,4/16/19,55.21
DOCU,4/17/19,53.18
DOCU,4/18/19,52.79
DOCU,4/22/19,54.13
DOCU,4/23/19,55.24
DOCU,4/24/19,55.84
DOCU,4/25/19,57.01
DOCU,4/26/19,57.26
DOCU,4/29/19,57.66
DOCU,4/30/19,56.67
DOCU,5/1/19,55.82
DOCU,5/2/19,54.89
DOCU,5/3/19,56.46
DOCU,5/6/19,55.89
DOCU,5/7/19,53.23
DOCU,5/8/19,53.59
DOCU,5/9/19,53.5
DOCU,5/10/19,53.05
DOCU,5/13/19,50.42
DOCU,5/14/19,52.54
DOCU,5/15/19,53.67
DOCU,5/16/19,54.74
DOCU,5/17/19,53.59
DOCU,5/20/19,53.17
DOCU,5/21/19,54.76
DOCU,5/22/19,54.78
DOCU,5/23/19,53.21
DOCU,5/24/19,54.1
DOCU,5/28/19,54.47
DOCU,5/29/19,54.38
DOCU,5/30/19,55.48
DOCU,5/31/19,56.06
DOCU,6/3/19,50.57
DOCU,6/4/19,52.94
DOCU,6/5/19,53.32
DOCU,6/6/19,54.74
DOCU,6/7/19,48.16
DOCU,6/10/19,48.31
DOCU,6/11/19,47.9
DOCU,6/12/19,48.08
DOCU,6/13/19,48.28
DOCU,6/14/19,50.78
DOCU,6/17/19,52.75
DOCU,6/18/19,53.51
DOCU,6/19/19,53.09
DOCU,6/20/19,54.87
DOCU,6/21/19,52.83
DOCU,6/24/19,51.01
DOCU,6/25/19,49.83
DOCU,6/26/19,49.49
DOCU,6/27/19,50.65
DOCU,6/28/19,49.71
DOCU,7/1/19,50.65
DOCU,7/2/19,51.34
DOCU,7/3/19,51.65
DOCU,7/5/19,52.16
DOCU,7/8/19,51.65
DOCU,7/9/19,52
DOCU,7/10/19,51.35
DOCU,7/11/19,53.8
DOCU,7/12/19,53.2
DOCU,7/15/19,54.05
DOCU,7/16/19,53.62
DOCU,7/17/19,52.77
DOCU,7/18/19,53.05
DOCU,7/19/19,52.42
DOCU,7/22/19,52.37
DOCU,7/23/19,52.94
DOCU,7/24/19,54.35
DOCU,7/25/19,52.47
DOCU,7/26/19,54.68
DOCU,7/29/19,53.9
DOCU,7/30/19,54.15
DOCU,7/31/19,51.72
DOCU,8/1/19,49.93
DOCU,8/2/19,48.8
DOCU,8/5/19,44.7
DOCU,8/6/19,44.59
DOCU,8/7/19,45.04
DOCU,8/8/19,46.36
DOCU,8/9/19,45.33
DOCU,8/12/19,44.21
DOCU,8/13/19,45.62
DOCU,8/14/19,43.91
DOCU,8/15/19,44.13
DOCU,8/16/19,44.81
DOCU,8/19/19,44.54
DOCU,8/20/19,44.63
DOCU,8/21/19,45.02
DOCU,8/22/19,44.75
DOCU,8/23/19,43.98
DOCU,8/26/19,45.23
DOCU,8/27/19,44.76
DOCU,8/28/19,45.44
DOCU,8/29/19,46.42
DOCU,8/30/19,46.69
