Symbol,Trade DATE,NOCP
SHOP,5/5/20,686.11
SHOP,5/6/20,733.53
SHOP,5/7/20,722.76
SHOP,5/8/20,708.97
SHOP,5/11/20,750.34
SHOP,5/12/20,742.28
SHOP,5/13/20,754.38
SHOP,5/14/20,754.29
SHOP,5/15/20,767
SHOP,5/18/20,738.02
SHOP,5/19/20,753.01
SHOP,5/20/20,778
SHOP,5/21/20,802.35
SHOP,5/22/20,825.17
SHOP,5/26/20,767.89
SHOP,5/27/20,750
SHOP,5/28/20,744.43
SHOP,5/29/20,757.8
SHOP,6/1/20,758
SHOP,6/2/20,779.5
SHOP,6/3/20,762.02
SHOP,6/4/20,735.19
SHOP,6/5/20,727.77
SHOP,6/8/20,730.67
SHOP,6/9/20,741.7
SHOP,6/10/20,743.64
SHOP,6/11/20,725.12
SHOP,6/12/20,742.58
SHOP,6/15/20,805.47
SHOP,6/16/20,805.76
SHOP,6/17/20,817.36
SHOP,6/18/20,863.56
SHOP,6/19/20,881
SHOP,6/22/20,904.81
SHOP,6/23/20,911.34
SHOP,6/24/20,897
SHOP,6/25/20,916.32
SHOP,6/26/20,910
SHOP,6/29/20,922.42
SHOP,6/30/20,949.2
